study_id,pmid,pmcid,doi,title,year,journal,url,fulltext_access_status,verification_status,setting_code,component_code,intervention_node_prelim,local_path,primary_reviewer,second_reviewer,arbitration_reviewer,screening_status,fulltext_final_decision,fulltext_exclusion_reason,consensus_status
FRAIL-001,42131895,PMC13173293,10.1002/jcsm.70306,Home-Based Intervention to Prevent Functional Decline in (Pre)frail Older Adults: The PromeTheus Randomized Controlled Trial.,2026,"Journal of cachexia, sarcopenia and muscle",https://pubmed.ncbi.nlm.nih.gov/42131895/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,home,balance;nutrition;digital_home,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC13173293.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-002,42004413,PMC13091225,10.1016/j.jarlif.2026.100069,Effects of multicomponent exercise on frailty in older adults with type 2 diabetes: Differential responses by metabolic frailty phenotype.,2026,JAR life,https://pubmed.ncbi.nlm.nih.gov/42004413/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,resistance;balance;multicomponent_exercise;nutrition;digital_home,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC13091225.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-003,41796126,PMC13086931,10.1038/s41598-026-38989-4,The ActivLife exergame rehabilitation program improves functional abilities in pre-frail and frail older adults: a clinical trial.,2026,Scientific reports,https://pubmed.ncbi.nlm.nih.gov/41796126/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,primary_care,resistance;balance;aerobic_walking;multicomponent_exercise;nutrition;digital_home,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC13086931.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-004,41677077,PMC12895478,10.1111/acel.70376,A Multidomain Lifestyle Intervention Is Associated With Improved Functional Trajectories and Favorable Changes in Epigenetic Aging Markers in Frail Older Adults: A Randomized Controlled Trial.,2026,Aging cell,https://pubmed.ncbi.nlm.nih.gov/41677077/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,resistance;nutrition;multidomain,multidomain_exercise_nutrition,data\raw\pmc_fulltext\PMC12895478.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-005,41658611,PMC12879047,10.3389/fmed.2026.1755508,"Feasibility and acceptability of a remotely delivered, home-based ""exercise snacking"" to improve physical function in community-dwelling older adults: a 28-day pilot study.",2026,Frontiers in medicine,https://pubmed.ncbi.nlm.nih.gov/41658611/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,home,resistance;balance;aerobic_walking;digital_home,exercise_only,data\raw\pmc_fulltext\PMC12879047.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-006,41354090,PMC12682371,10.1093/ageing/afaf345,Why didn't the senior citizen cross the road? Gait speed in community-dwelling older adults with mobility limitations relative to pedestrian crossing times.,2025,Age and ageing,https://pubmed.ncbi.nlm.nih.gov/41354090/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,aerobic_walking,exercise_only,data\raw\pmc_fulltext\PMC12682371.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-007,41120990,PMC12538938,10.1186/s12877-025-06471-x,Impact of a functional gait training program as a complementary strategy to improve physical function in older adults: a randomized clinical trial.,2025,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/41120990/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,unclear,resistance;mind_body,exercise_only,data\raw\pmc_fulltext\PMC12538938.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-008,41095572,PMC12524544,10.3390/healthcare13192486,Targeted Physical Function Exercises for Frailty and Falls Management in Pre-Frail Community-Dwelling Older Adults: A Randomized Controlled Trial.,2025,"Healthcare (Basel, Switzerland)",https://pubmed.ncbi.nlm.nih.gov/41095572/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,home,balance;digital_home,exercise_only,data\raw\pmc_fulltext\PMC12524544.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-009,41035820,PMC12479488,10.3389/fnagi.2025.1639245,Effects of exercise-cognitive dual-task training on cognitive frailty in older adults: a randomized controlled trial.,2025,Frontiers in aging neuroscience,https://pubmed.ncbi.nlm.nih.gov/41035820/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,balance;aerobic_walking;digital_home,exercise_only,data\raw\pmc_fulltext\PMC12479488.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-010,40969786,PMC12441017,10.3389/fmed.2025.1573384,Effect of a multicomponent intervention on institutionalization-free survival in older adults with sarcopenia: a,2025,Frontiers in medicine,https://pubmed.ncbi.nlm.nih.gov/40969786/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,multicomponent_exercise;nutrition,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC12441017.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
