pmid,doi,title,year,journal,url,priority_reason,abstract,screen_decision,fulltext_priority,round2_decision,round2_reason,setting_code,component_code
41757200,10.64898/2026.02.12.26346203,A multi-layered approach to elucidate mechanisms of physical function in response to rehabilitation in heart failure with preserved ejection fraction.,2026,medRxiv : the preprint server for health sciences,https://pubmed.ncbi.nlm.nih.gov/41757200/,Implementation-relevant frailty RCT candidate,"Heart failure with preserved ejection fraction (HFpEF) is an increasingly common cause of morbidity and mortality in older adults that is driven by cardiac and non-cardiac mechanisms. Physical rehabilitation improves frailty and functional capacity in HFpEF, though underlying mechanisms remain less clear. We quantified >5,000 circulating proteins across two randomized clinical trials of rehabilitation in HFpEF (REHAB-HF, SECRET-II), identifying proteins associated with prognostic measures of physical function (short physical performance battery, 6-minute walk distance) and protein changes after rehabilitation. Using an artificial intelligence (AI)-enabled multiplex network analysis (MENTOR-IA), we identified biologically plausible networks central to this ""physical function proteome,"" including endothelial remodeling, mitochondrial metabolism, calcium handling, and immune modulation. Expression of prioritized proteins at the transcriptional level localized to heart, skeletal muscle, and brain tissue, with several cognate transcripts implicated in frailty via tissue-specific transcriptome-wide genetic association studies. In addition, using novel human genetic approaches, we implicated select proteins as mediating tissue-specific genetic effects on frailty. These findings motivated us to construct multi-protein signatures of physical function, which correlated with functional changes observed with rehabilitation in REHAB-HF and SECRET-II and that were associated with heart failure and multi-dimensional clinical outcomes in >26,000 individuals. These findings collectively delineate a multi-system molecular program underlying physical function impairment and rehabilitation response in HFpEF, offering insights into potential precision risk estimators and therapeutic targets for surveillance and promotion of physiologic resilience.",include_title_abs,A_primary_fulltext,exclude_or_hold,Preprint; not eligible for IJMR primary evidence unless later peer-reviewed,unclear,nutrition;digital_home
41812966,10.1016/j.ahj.2026.107420,Physical rehabilitation for older patients with acute HFpEF (REHAB-HFpEF) trial: Design and rationale.,2026,American heart journal,https://pubmed.ncbi.nlm.nih.gov/41812966/,Implementation-relevant frailty RCT candidate,"Older patients hospitalized for acute decompensated heart failure with preserved ejection fraction (HFpEF) experience persistently poor outcomes, including physical disability, cognitive impairment, depression, impaired health-related quality of life (HRQOL), rehospitalizations, loss of independence, and mortality. In our previous phase 2 REHAB-HF trial, an innovative physical rehabilitation intervention, delivered across three phases-inpatient, 12-week outpatient, and 3-month home-based maintenance-produced large improvements in physical function and HRQOL, with signals of reduced clinical events among patients with acute HFpEF. These findings provide a compelling rationale for a definitive, event-powered trial to evaluate clinical outcomes. Targeting physical frailty and multisystem functional impairments using the REHAB-HF intervention-a transitional, tailored, structured, and progressive multidomain rehabilitation program focused on balance, mobility, strength, and endurance-will reduce clinical events in older, predominantly frail patients hospitalized for acute HFpEF. REHAB-HFpEF is a multicenter, randomized, single-blind, attention-controlled phase 3 trial across 22 U.S. health system centers, enrolling 880 patients aged ≥60 years hospitalized for acute HFpEF. The primary endpoint is combined all-cause rehospitalizations and mortality at 6 months. Key secondary endpoints include major mobility disability (defined as inability to walk ≥160 meters on the 6-minute walk test) and HRQOL measured by the Kansas City Cardiomyopathy Questionnaire. Healthcare costs will also be assessed. REHAB-HFpEF is designed to address care gaps for frail older adults with acute HFpEF, who currently lack an evidence-based rehabilitation pathway. If successful in meeting endpoints, this trial could establish a scalable rehabilitation intervention that improves recovery, reduces adverse events, and lowers healthcare costs. Findings may shift HF management paradigms, inform guidelines, and influence national coverage policy for this growing, high-risk population. Enrollment ongoing, 478 of 880 (66%) as of 24Feb2027. Clinicaltrials.gov ID NCT05525663, https://clinicaltrials.gov/study/NCT05525663?term=NCT05525663&rank=1.",include_title_abs,A_primary_fulltext,exclude,Protocol/design/baseline paper rather than outcome report,hospital_or_postacute,resistance;balance;aerobic_walking;digital_home;multidomain
41509872,10.1177/20552076251410995,South Korean study to prevent the progression of frailty and aging-related diseases using a digital multidomain intervention (SUPERAGING): Protocol of a feasibility pilot study.,2026,Digital health,https://pubmed.ncbi.nlm.nih.gov/41509872/,Community/primary-care frailty RCT candidate,"The rapid global aging trend has led to a substantial increase in the prevalence of frailty among older adults. We developed a mobile app-based multidomain intervention (MI) program as part of a South Korean study to prevent the progression of frailty and aging-related diseases using a digital MI (SUPERAGING). We aim to evaluate the feasibility of the SUPERAGING app-based intervention in prefrail or frail older adults. We will recruit 40 community-dwelling older adults aged 60 to 90 years classified as frail or prefrail according to the Modified Fried frailty criteria. Participants will be randomly assigned to intervention and control groups at a 1:1 ratio. The intervention group will receive a personalized program through the SUPERAGING digital platform, comprising four components: disease management, cognitive training, physical exercise and nutritional intervention for 16 weeks. The control group will receive standard lifestyle education only. The primary outcomes are adherence, retention, and recruitment rates. The main secondary outcomes are frailty, disability, cognitive function, physical performance, nutritional assessment, mood, quality of life, vascular risk factors, and occurrence of aging-related diseases. There will be an exploratory evaluation of biological aging markers. The intervention program will be considered feasible if the following success criteria are met: (a) a retention rate of 70% or higher, (b) an adherence rate of 70% or higher, and (c) a recruitment rate of 50% or higher. The results will provide information on the applicability of a MI using a mobile app targeting older adults with prefrailty or frailty. ClinicalTrials.gov identifier: NCT06891573. Registered on February 25, 2025.",include_title_abs,A_primary_fulltext,exclude,Protocol/design/baseline paper rather than outcome report,community,nutrition;digital_home;multidomain
39754159,10.1186/s12906-024-04732-7,A randomized controlled trial to assess the efficacy of standardized tai chi in prefrail older adults with immunosenescence: design and protocol.,2025,BMC complementary medicine and therapies,https://pubmed.ncbi.nlm.nih.gov/39754159/,Community/primary-care frailty RCT candidate,"Frailty is a common geriatric syndrome worldwide, and its early identification and intervention have important clinical significance. Resistance training has been recommended as an efficient means to combat loss of muscle strength and mass; however, it is often not a prioritized option for older adults. Tai chi is a well-known traditional Chinese exercise that has a beneficial impact on physical performance, balance ability, metabolism, and immune function. With the newly emerged concept of muscle-immune homeostasis, this study focused on determining the efficacy of tai chi prefrail older adults who develop immunosenescence. Furthermore, the proper timing of the exercise regimen for maximizing the therapeutic effect of tai chi has also been explored. This 12-week, multicenter, randomized controlled trial (RCT) was conducted with participants between 60 and 75 years of age. A total of 144 prefrail participants were included in this study and were randomized (1:1:1:1) to four groups: (1) a control group with only health education, (2) a morning tai chi group, (3) a morning resistance training group, and (4) an afternoon tai chi group. The primary endpoints included physical performance, frailty index scores, muscle strength, and mass, and the secondary endpoints were the sarcopenia quality of life score, Berg balance scale score, bioenergetic anti-stress index (BASI), and immune risk profile (IRP). The data were analyzed according to the intention-to-treat protocol. The results of this investigation aided in determining whether tai chi effectively reversed the prefrail state of older adults and ameliorated biomarkers of immunosenescence. Furthermore, proper exercise timing was also determined to maximize the efficacy of physical training. Chinese Clinical Trial Registry; registration number: ChiCTR2200065815; prospectively registered on November 16th, 2022.",include_title_abs,A_primary_fulltext,exclude,Protocol/design/baseline paper rather than outcome report,unclear,resistance;balance;mind_body
40297922,10.1080/07853890.2025.2496409,Multidomain intervention for delaying aging in community-dwelling older adults (MIDA): study design and protocol.,2025,Annals of medicine,https://pubmed.ncbi.nlm.nih.gov/40297922/,Community/primary-care frailty RCT candidate,"The exploration of interventions to delay aging is an emerging topic that promotes healthy aging. The multidomain intervention has the potential to be applied in the field of aging because it concentrates on the functional ability of older adults. There is currently no literature reporting on a multidomain intervention involving cognition, exercise and nutrition for delaying aging. The Multidomain Intervention for Delaying Aging in Community-dwelling Older Adults (MIDA) is a Zelen-design randomized controlled trial with a 6-month intervention duration. The multidomain intervention comprises cognitive training, exercise training, and nutritional guidance, delivered through both group sessions and individual family interventions. A total of 248 participants aged 60 to 85 years will be randomized to the intervention group or control group and followed up for 12 months. The primary outcome is the change in epigenetic age acceleration and pace of aging following the multidomain intervention. The secondary outcomes are the changes in frailty score and intrinsic capacity Z-score. Other outcomes include physical functions, body composition, aging biomarkers, inflammatory markers, haematology and biochemistry parameters, and lifestyle factors. This study will explore the effects of the multidomain intervention on delaying aging in community-dwelling older adults. We aim to introduce a new approach to delaying aging and offer a practical multidomain intervention strategy for healthcare institutions.",include_title_abs,A_primary_fulltext,exclude,Protocol/design/baseline paper rather than outcome report,community,nutrition;digital_home;multidomain
39371165,10.1101/2024.09.17.24313811,"Exploratory functional and quality of life outcomes with daily consumption of the ketone ester bis-octanoyl (R)-1,3-butanediol in healthy older adults: a randomized, parallel arm, double-blind, placebo-controlled study.",2024,medRxiv : the preprint server for health sciences,https://pubmed.ncbi.nlm.nih.gov/39371165/,Community/primary-care frailty RCT candidate,"Ketone bodies are metabolites produced during fasting or on a ketogenic diet that have pleiotropic effects on the inflammatory and metabolic aging pathways underpinning frailty in in vivo models. Ketone esters (KEs) are compounds that induce hyperketonemia without dietary changes and that may impact physical and cognitive function in young adults. The functional effects of KEs have not been studied in older adults. Our long-term goal is to examine if KEs modulate aging biology mechanisms and clinical outcomes relevant to frailty in older adults. Here, we report the exploratory functional and quality-of-life outcome measures collected during a 12-week safety and tolerability study of KE (NCT05585762). Randomized, placebo-controlled, double-blinded, parallel-group, pilot trial of 12-weeks of daily KE ingestion. The Clinical Research Unit at the Buck Institute for Research on Aging, California. Community-dwelling older adults (≥ 65 years), independent in activities of daily living, with no unstable acute medical conditions (n = 30). Subjects were randomly allocated (1:1) to consume 25 g daily of either KE (bis-octanoyl (R)-1,3-butanediol) or a taste, appearance, and calorie-matched placebo (PLA) containing canola oil. Longitudinal change in physical function, cognitive function and quality of life were assessed as exploratory outcomes in n = 23 completers (n = 11 PLA, n = 12 KE). A composite functional outcome to describe the vigor-frailty continuum was calculated. Heart rate and activity was measured throughout the study using digital wearables. There were no statistically significant longitudinal differences between groups in exploratory functional, activity-based or quality of life outcomes. Daily ingestion of 25 g of KE did not affect exploratory functional or quality-of-life end points in this pilot cohort of healthy older adults. Future work will address these endpoints as primary and secondary outcomes in a larger trial of pre-frail older adults.",include_title_abs,A_primary_fulltext,exclude_or_hold,Preprint; not eligible for IJMR primary evidence unless later peer-reviewed,community,digital_home
39350375,10.14283/jpad.2024.111,Multidomain Intervention for the Reversal of Cognitive Frailty Using a Personalized Approach (AGELESS Trial): Recruitment and Baseline Characteristics of Participants.,2024,The journal of prevention of Alzheimer's disease,https://pubmed.ncbi.nlm.nih.gov/39350375/,Implementation-relevant frailty RCT candidate,"Reversal of cognitive frailty through a multidomain intervention is desirable to prevent dementia. AGELESS Trial was conducted to determine the effectiveness of a comprehensive, multidomain intervention on older adults with cognitive frailty in Malaysia. However, conducting a clinical trial, particularly during and after Covid-19, posed unique challenges. We aimed to investigate the recruitment process and baseline characteristics of the AGELESS Trial participants to better understand an at-risk population and those who agree to participate in an intervention. 24-month, randomized controlled trial. Community-dwelling older adults with independent mobility, aged ≥ 60 years, with a mini mental state examination score of 19-25, a clinical dementia rating of 0.5 ≥ 1 Fried's physical frailty criteria, and < 22 Beck depression inventory. Participants were randomized 1:1 to a structured multidomain intervention consisting of vascular management, diet, exercise, cognitive and psychosocial stimulation, or to the arm, including routine care and general health consultation. We analyzed the group differences between (1) cognitive frailty and non- cognitive frailty screened subjects, (2) recruited and non-recruited participants, (3) baseline characteristics of participants by arm, (4) adherence to AGELESS intervention at 12 months, and (5) preliminary findings on the effectiveness of the intervention at 12 months. A total of 957 older adults from two locations, i.e., urban (n = 764) and rural (n = 193) areas, were screened, of whom 38.9% had cognitive frailty and were eligible to participate. Those with cognitive frailty had fewer years of education (B = -0.08; 95%CI = 0.88-0.97; p = 0.002), and lower functioning cognition (B = -0.24; 95%CI = 0.74-0.84; p < 0.001). Among those from urban areas, only 33.1% (n = 106) agreed to participate, particularly those with multimorbidity (B = 0.86; 95%CI = 1.31-4.30; p = 0.01), higher physical activity (B = -1.02; 95%CI = 0.19-0.69; p = 0.002), slower walking speed (B = 1.26; 95%CI = 1.62-7.61; p = 0.001), and higher systolic blood pressure (B = 0.02; 95%CI = 1.00-1.03; p = 0.03). At baseline, participants' mean age was 68.1±5.6, years of education was 8.3±3.9, body mass index was 27.5±5.3 kg/m2, and mini mental state examination score was 22.7±4.0. Generally, there were no significant differences between the intervention and control groups for the main outcomes, except those in the intervention group had higher body mass index, mid-upper-arm circumference, and waist circumference (p < 0.05 for all parameters). Overall intervention adherence at 12 months was 52.8%, ranging from 52.8%-90.6% for each of the modules. Preliminary analysis of the effectiveness of the intervention at 12 months was positive on most of the cognitive domains, some of the nutrient intake and food groups, physical function, and vascular outcomes (p < 0.05 for all parameters). Despite the challenges posed by the pandemic, screening, recruitment, and 12-month intervention delivery were achieved in a Malaysian multidomain preventive randomized controlled trial in older adults at risk of dementia, with a satisfactory adherence rate and cognitive benefits at 12 months.",include_title_abs,A_primary_fulltext,exclude,Protocol/design/baseline paper rather than outcome report,hospital_or_postacute,aerobic_walking;digital_home;multidomain
38780837,10.1007/s40520-024-02775-x,Prevention at home in older persons with (pre-)frailty: analysis of participants' recruitment and characteristics of the randomized controlled PromeTheus trial.,2024,Aging clinical and experimental research,https://pubmed.ncbi.nlm.nih.gov/38780837/,Community/primary-care frailty RCT candidate,"The ""PromeTheus"" trial is evaluating a home-based, multifactorial, interdisciplinary prevention program for community-dwelling (pre-)frail older adults. These individuals often suffer from reduced participation, which can complicate the recruitment and enrollment in a clinical trial. The aim of this study was to evaluate different recruitment strategies and differences in participant characteristics in relation to these strategies. This cross-sectional study used baseline data from the randomized-controlled PromeTheus trial, in which community-dwelling (pre-)frail older persons (Clinical Frailty Scale [CFS] 4-6 pt., ≥ 70 years) were recruited via general practitioners (""GP recruitment"") or flyers, newspaper articles, and personalized letters (""direct recruitment""). Differences in the sociodemographic, clinical, physical, functional, mobility-related, psychological and social characteristics were analyzed in relation to the recruitment strategy. A total of 385 participants (mean age = 81.2, SD 5.9 years; women: n = 283, 73.5%) were enrolled, of which 60 (16%) were recruited by GPs and 325 (84%) through direct recruitment. Participants recruited via GPs had significantly higher subjective frailty levels (CFS), were more often physically frail (Fried Frailty Phenotype), and showed lower physical capacity (Short Physical Performance Battery), participation (disability component of the short version of the Late-Life Function and Disability Instrument), and life-space mobility (Life-Space Assessment) compared to those recruited via the direct approach (p = 0.002-0.026). Costs per randomized participant were 94€ for the GP recruitment strategy and €213 for the direct recruitment strategy. Different strategies may be required to successfully recruit (pre-)frail home-living older adults into preventive programs. Direct recruitment strategies, in which potential participants are directly informed about the prevention program, seem to be more promising than GP recruitment but may result in enrolment of persons with less functional impairment and higher recruitment costs. German Clinical Trials Register, DRKS00024638. Registered on March 11, 2021.",include_title_abs,A_primary_fulltext,exclude,Protocol/design/baseline paper rather than outcome report,home,digital_home
38576769,10.1177/20543581241234724,Randomized Controlled Trial of the Effect of an Exercise Rehabilitation Program on Symptom Burden in Maintenance Hemodialysis: A Clinical Research Protocol.,2024,Canadian journal of kidney health and disease,https://pubmed.ncbi.nlm.nih.gov/38576769/,Implementation-relevant frailty RCT candidate,"People receiving hemodialysis experience high symptom burden that contributes to low functional status and poor health-related quality of life. Management of symptoms is a priority for individuals receiving hemodialysis but limited effective treatments exist. There is emerging evidence that exercise programming can improve several common dialysis-related symptoms. The primary aim of this study is to evaluate the effect of an exercise rehabilitation program on symptom burden in individuals receiving maintenance hemodialysis. Multicenter, randomized controlled, 1:1 parallel, open label, prospective blinded end point trial. Three facility-based hemodialysis units in Winnipeg, Manitoba, Canada. Adults aged 18 years or older with end-stage kidney disease receiving facility-based maintenance hemodialysis for more than 3 months, with at least 1 dialysis-related symptom as indicated by the Dialysis Symptom Index (DSI) severity score >0 (n = 150). Supervised 26-week exercise rehabilitation program and 60 minutes of cycling during hemodialysis thrice weekly. Exercise intensity and duration were supervised and individualized by the kinesiologist as per participant baseline physical function with gradual progression over the course of the intervention. Usual hemodialysis care (no exercise program). Our primary outcome is change in symptom burden at 12 weeks as measured by the DSI severity score. Secondary outcomes include change in modified DSI severity score (includes 10 symptoms most plausible to improve with exercise), change in DSI severity score at 26 and 52 weeks; time to recover post-hemodialysis; health-related quality of life measured using EuroQol (EQ)-5D-5L; physical activity behavior measured by self-report (Godin-Shepherd questionnaire) and triaxial accelerometry; exercise capacity (shuttle walk test); frailty (Fried); self-efficacy for exercise; and 1-year hospitalization and mortality. Change in primary outcome will be compared between groups by independent 2-tailed t test or Mann-Whitney U test depending on data distribution and using generalized linear mixed models, with study time point as a random effect and adjusted for baseline DSI score. Similarly, change in secondary outcomes will be compared between groups over time using appropriate parametric and nonparametric statistical tests depending on data type and distribution. The COVID-19 pandemic restrictions on clinical research at our institution delayed completion of target recruitment and prevented collection of accelerometry and physical function outcome data for 15 months until restrictions were lifted. The application of an exercise rehabilitation program to improve symptom burden in individuals on hemodialysis may ameliorate common symptoms observed in individuals on hemodialysis and result in improved quality of life and reduced disability and morbidity over the long term. Importantly, this pragmatic study, with a standardized exercise intervention that is adaptable to baseline physical function, addresses an important gap in both clinical care of hemodialysis patients and our current knowledge.",include_title_abs,A_primary_fulltext,exclude,Protocol/design/baseline paper rather than outcome report,unclear,digital_home
34092633,10.3233/JAD-201607,"Multidomain Intervention for Reversal of Cognitive Frailty, Towards a Personalized Approach (AGELESS Trial): Study Design.",2021,Journal of Alzheimer's disease : JAD,https://pubmed.ncbi.nlm.nih.gov/34092633/,Community/primary-care frailty RCT candidate,"Cognitive frailty (CF) is identified as one of the main precursors of dementia. Multidomain intervention has been found to delay or prevent the onset of CF. The aim of our present study is to determine the effectiveness of a comprehensive, multidomain intervention on CF; to evaluate its cost effectiveness and the factors influencing adherence toward this intensive intervention. A total of 1,000 community dwelling older adults, aged 60 years and above will be screened for CF. This randomized controlled trial involves recruitment of 330 older adults with CF from urban, semi-urban, and rural areas in Malaysia. Multidomain intervention comprised of physical, nutritional, cognitive, and psychosocial aspects will be provided to participants in the experimental group (n = 165). The control group (n = 165) will continue their usual care with their physician. Primary outcomes include CF status, physical function, psychosocial and nutritional status as well as cognitive performance. Vascular health and gut microbiome will be assessed using blood and stool samples. A 24-month intensive intervention will be prescribed to the participants and its sustainability will be assessed for the following 12 months. The effective intervention strategies will be integrated as a personalized telerehabilitation package for the reversal of CF for future use. The multidomain intervention developed from this trial is expected to be cost effective compared to usual care as well as able is to reverse CF. This project will be part of the World-Wide FINGERS (Finnish Geriatric Intervention Study to Prevent Cognitive Impairment and Disability) Network, of which common identifiable data will be shared and harmonized among the consortia.",include_title_abs,A_primary_fulltext,exclude,Protocol/design/baseline paper rather than outcome report,hospital_or_postacute,nutrition;digital_home;multidomain
