title,study_design,species_model,ageing_domain_category,intervention_name,claim_score,claim_category,bias_level
Fecal Microbiota Transplantation for Microbiome Modulation: A Clinical View,unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
"Parabiosis, Assembloids, Organoids (PAO).",unclear_or_metadata_only,cellular,surrogate_or_indirect,controversial,2.5,speculative_or_hype_heavy,moderate_or_high
"A head‐to‐head comparison between senolytic therapies, dasatinib plus quercetin and fisetin, indicates sex‐ and genotype‐specific differences in translationally relevant outcomes",unclear_or_metadata_only,unclear,surrogate_or_indirect,senolytics,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Baseline characteristics of the SINgapore GERiatric Intervention Study to Reduce Cognitive Decline and Physical Frailty (SINGER) multidomain dementia prevention randomized controlled trial and insights from the recruitment process.,RCT_or_clinical_trial,human,healthspan_functional_ageing,lifestyle_bundle,12.0,supported_for_healthspan_related_benefit,lower
"An Updated Review on the Mechanisms, Pre‐Clinical and Clinical Comparisons of Nicotinamide Mononucleotide (NMN) and Nicotinamide Riboside (NR)",unclear_or_metadata_only,unclear,surrogate_or_indirect,nad_sirtuin,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Effects of Diactive-1-Supported Progressive Resistance Training on Body Composition in Youth With Type 1 Diabetes.,RCT_or_clinical_trial,human,surrogate_or_indirect,exercise,10.5,promising_but_incomplete,lower
"Decision letter for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
"Decision letter for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Diet and Circadian Rhythms: Implications for Aging and Longevity,unclear_or_metadata_only,unclear,surrogate_or_indirect,sleep_circadian,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Fasting and Caloric Restriction for Healthy Aging and Longevity,unclear_or_metadata_only,unclear,surrogate_or_indirect,caloric_restriction,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Microbiome and Probiotics for Ischemic Stroke,unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Ageing and Human Gut Microbiome: The Taxonomic and Functional Transition Towards an Elderly-Type Microbiome,unclear_or_metadata_only,human,surrogate_or_indirect,microbiome,9.5,promising_but_incomplete,moderate_or_high
Ageing of the Gut Microbiome and Its Potential Contribution Towards Immunesenescence and Inflammaging,unclear_or_metadata_only,unclear,biological_ageing_biomarker,microbiome,7.0,biomarker_or_preclinical_evidence,moderate_or_high
Gut Microbiome and Virome: Anti-Aging Interventions,unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
