source,source_stream,query,record_id,title,abstract,authors,year,journal,doi,pmid,pmcid,url,publication_type,is_preprint,retrieved_at,dedup_key,title_norm
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",641a4ff88ba1c2a0f1fb4fde6a847812,A breast tissue-specific epigenetic clock provides accurate chronological age predictions and reveals de-correlation of age and DNA methylation in tumor-adjacent and tumor samples,,Quintela-Fandino Miguel; Garma Leonardo; Pernas Sonia; Baz David Vicente; Campelo Rosario García; Terrasa Josefa; Colomer Ramón; Jiménez Desirée,,,10.21203/rs.3.rs-6222303/v1,,,https://doi.org/10.21203/rs.3.rs-6222303/v1,posted-content,True,2026-04-23T01:40:51,doi:10.21203/rs.3.rs-6222303/v1,a breast tissue specific epigenetic clock provides accurate chronological age predictions and reveals de correlation of age and dna methylation in tumor adjacent and tumor samples
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",fa5ecc1957796345f5c4ce0344d82d3c,A breast tissue-specific epigenetic clock provides accurate chronological age predictions and reveals de-correlation of age and DNA methylation in tumor-adjacent and tumor samples,,Garma Leonardo D.; Pernas Sonia; Baz David Vicente; García Campelo Rosario; Terrasa Josefa; Colomer Ramón; Jiménez Desirée; Vera García Ruth,,,10.1101/2025.02.21.639537,,,https://doi.org/10.1101/2025.02.21.639537,posted-content,True,2026-04-23T01:40:51,doi:10.1101/2025.02.21.639537,a breast tissue specific epigenetic clock provides accurate chronological age predictions and reveals de correlation of age and dna methylation in tumor adjacent and tumor samples
europe_pmc,mixed,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",91b800575b652568f2e92ba76eb53250,A Critical Assessment of Fasting to Promote Metabolic Health and Longevity.,,"Fazeli PK, Steinhauser ML.",2025.0,Endocr Rev,10.1210/endrev/bnaf021,40700575.0,PMC12606574,,review-article; review; journal article,False,2026-04-23T01:41:04,doi:10.1210/endrev/bnaf021,a critical assessment of fasting to promote metabolic health and longevity
pubmed,peer_reviewed,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",0cb3b3d31ee96ad05ad6ab74c8e8341f,A Critical Assessment of Fasting to Promote Metabolic Health and Longevity.,,Fazeli PK; Steinhauser ML,2025.0,Endocrine reviews,,40700575.0,,https://pubmed.ncbi.nlm.nih.gov/40700575/,Journal Article; Review,False,2026-04-23T01:41:02,pmid:40700575.0,a critical assessment of fasting to promote metabolic health and longevity
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",cb29ee74960b9545c852de5305e4e092,Age-Related Variation in DNA Methylation,,Issa Jean-Pierre,2012.0,Epigenetic Epidemiology,10.1007/978-94-007-2495-2_11,,,https://doi.org/10.1007/978-94-007-2495-2_11,book-chapter,False,2026-04-23T01:40:51,doi:10.1007/978-94-007-2495-2_11,age related variation in dna methylation
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",cc6e296acd3817b0f8b48b00b1b09382,Age-Related Variation in DNA Methylation,,Keith Kelsey; Issa Jean-Pierre J.; Panjarian Shoghag,2022.0,Epigenetic Epidemiology,10.1007/978-3-030-94475-9_10,,,https://doi.org/10.1007/978-3-030-94475-9_10,book-chapter,False,2026-04-23T01:40:51,doi:10.1007/978-3-030-94475-9_10,age related variation in dna methylation
pubmed,peer_reviewed,"(aging OR ageing OR rejuvenation) AND (parabiosis OR ""young plasma"" OR ""plasma dilution"")",13dbfbcbedc6f5271cec5f8d929af58a,Blood as the mirror and modulator of aging: mechanistic insights and rejuvenation strategies.,,Kim E; Kang JS; Yang YR,2026.0,Experimental & molecular medicine,,41998143.0,,https://pubmed.ncbi.nlm.nih.gov/41998143/,Journal Article; Review,False,2026-04-23T01:41:54,pmid:41998143.0,blood as the mirror and modulator of aging mechanistic insights and rejuvenation strategies
europe_pmc,mixed,"(aging OR ageing OR rejuvenation) AND (parabiosis OR ""young plasma"" OR ""plasma dilution"")",688644b2d730623e2533a8ee76d4710f,Blood as the mirror and modulator of aging: mechanistic insights and rejuvenation strategies.,,"Kim E, Kang JS, Yang YR.",2026.0,Exp Mol Med,10.1038/s12276-026-01688-1,41998143.0,,,review; journal article,False,2026-04-23T01:41:56,doi:10.1038/s12276-026-01688-1,blood as the mirror and modulator of aging mechanistic insights and rejuvenation strategies
pubmed,peer_reviewed,"(rejuvenation OR ""age reversal"" OR ""reverse aging"" OR ""reverse ageing"")",c6f2fa989c3dbb609ad0638cdafd302a,Circulating plasma factors involved in rejuvenation.,,Kang JS; Yang YR,2020.0,Aging,,33197235.0,,https://pubmed.ncbi.nlm.nih.gov/33197235/,"Journal Article; Research Support, Non-U.S. Gov't; Review",False,2026-04-23T01:40:55,pmid:33197235.0,circulating plasma factors involved in rejuvenation
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (parabiosis OR ""young plasma"" OR ""plasma dilution"")",5b97185b085612407535157187ce129e,Circulating plasma factors involved in rejuvenation,,Kang Jae Sook; Yang Yong Ryoul,2020.0,Aging,10.18632/aging.103933,,,https://doi.org/10.18632/aging.103933,journal-article,False,2026-04-23T01:41:58,doi:10.18632/aging.103933,circulating plasma factors involved in rejuvenation
europe_pmc,mixed,"(aging OR ageing OR rejuvenation) AND (parabiosis OR ""young plasma"" OR ""plasma dilution"")",4b548ed649a38385bf9bcf51d3418bf5,Comparative Investigation of the Rheological Properties and Rejuvenation Mechanism of Rejuvenated SBS Modified Asphalt Binder After Ultraviolet Aging,,"Guo F, He X, Zhi P, Ma H, Dou H, Li B.",2026.0,Materials (Basel),,,PMC12985861,,research-article; journal article,False,2026-04-23T01:41:56,title:comparative investigation of the rheological properties and rejuvenation mechanism of rejuvenated sbs modified asphalt binder after ultraviolet aging,comparative investigation of the rheological properties and rejuvenation mechanism of rejuvenated sbs modified asphalt binder after ultraviolet aging
europe_pmc,mixed,"(aging OR ageing OR rejuvenation) AND (parabiosis OR ""young plasma"" OR ""plasma dilution"")",504003017da7b155b59efacfa91d3e28,Comparative Investigation of the Rheological Properties and Rejuvenation Mechanism of Rejuvenated SBS Modified Asphalt Binder After Ultraviolet Aging.,,"Guo F, He X, Zhi P, Ma H, Dou H, Li B.",2026.0,Materials (Basel),10.3390/ma19051041,41828306.0,,,journal article,False,2026-04-23T01:41:56,doi:10.3390/ma19051041,comparative investigation of the rheological properties and rejuvenation mechanism of rejuvenated sbs modified asphalt binder after ultraviolet aging
crossref,bibliographic,"(rejuvenation OR ""age reversal"" OR ""reverse aging"" OR ""reverse ageing"")",eaaa7f3980d595fe21e00afb6188698f,"Decision letter for ""Reverse aging to treat lupus""",,,2024.0,,10.1002/eji.202451274/v1/decision1,,,https://doi.org/10.1002/eji.202451274/v1/decision1,peer-review,False,2026-04-23T01:40:58,doi:10.1002/eji.202451274/v1/decision1,decision letter for reverse aging to treat lupus
crossref,bibliographic,"(rejuvenation OR ""age reversal"" OR ""reverse aging"" OR ""reverse ageing"")",8985064ce2a9bbfd201a6dbc0081fd77,"Decision letter for ""Reverse aging to treat lupus""",,,2024.0,,10.1002/eji.202451274/v2/decision1,,,https://doi.org/10.1002/eji.202451274/v2/decision1,peer-review,False,2026-04-23T01:40:58,doi:10.1002/eji.202451274/v2/decision1,decision letter for reverse aging to treat lupus
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",933980c142a9691d8c81534d36336e30,"Decision letter for ""Sequencing method matters: differential performance of DNA methylation data acquisition in epigenetic clock calibration""",,,2025.0,,10.1002/jav.03498/v1/decision1,,,https://doi.org/10.1002/jav.03498/v1/decision1,peer-review,False,2026-04-23T01:40:51,doi:10.1002/jav.03498/v1/decision1,decision letter for sequencing method matters differential performance of dna methylation data acquisition in epigenetic clock calibration
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",358efe80ed393a4f431913d8d8737c9e,"Decision letter for ""Sequencing method matters: differential performance of DNA methylation data acquisition in epigenetic clock calibration""",,,2025.0,,10.1002/jav.03498/v2/decision1,,,https://doi.org/10.1002/jav.03498/v2/decision1,peer-review,False,2026-04-23T01:40:51,doi:10.1002/jav.03498/v2/decision1,decision letter for sequencing method matters differential performance of dna methylation data acquisition in epigenetic clock calibration
