study_id,title,intervention_name,endpoint_family,source_type,extractor_method,extraction_status,priority_rank,duplicate_cohort_flag,notes
41943481.0,Baseline characteristics of the SINgapore GERiatric Intervention Study to Reduce Cognitive Decline and Physical Frailty (SINGER) multidomain dementia prevention randomized controlled trial and insights from the recruitment process.,lifestyle_bundle,frailty_function,pmc_xml,pmc_xml_table_text_parse,ready_for_numeric_extraction,100,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
41503609.0,Interaction between physical activity and deficit-based frailty on all-cause mortality in older adults: a prospective study of five population-based cohorts.,exercise,frailty_function,pmc_xml,pmc_xml_table_text_parse,ready_for_numeric_extraction,100,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
41984883.0,Reducing frailty in frail people with multiple sclerosis: Feasibility of a 6-week multimodal exercise training program.,exercise,frailty_function,pmc_xml,pmc_xml_table_text_parse,ready_for_numeric_extraction,100,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
39024000.0,Assessing the Clinical Effectiveness of an Exergame-Based Exercise Training Program Using Ring Fit Adventure to Prevent and Postpone Frailty and Sarcopenia Among Older Adults in Rural Long-Term Care Facilities: Randomized Controlled Trial.,exercise,frailty_function,publisher_html,table_first_then_figure_digitization_if_needed,needs_table_or_figure_capture,110,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
10.1007_s12603-018-1090-9,Effects of Resistance Exercise Training on Cognitive Function and Physical Performance in Cognitive Frailty: A Randomized Controlled Trial,exercise,frailty_function,publisher_html,table_first_then_figure_digitization_if_needed,ready_for_numeric_extraction,110,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
41677077.0,A Multidomain Lifestyle Intervention Is Associated With Improved Functional Trajectories and Favorable Changes in Epigenetic Aging Markers in Frail Older Adults: A Randomized Controlled Trial.,lifestyle_bundle,epigenetic_biological_age,pmc_xml,pmc_xml_table_text_parse,ready_for_numeric_extraction,200,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
41717034.0,Epigenetic and microbiome responses to greens supplementation in obese older adults: results from a randomized crossover-controlled trial.,microbiome,epigenetic_biological_age,pmc_xml,pmc_xml_table_text_parse,ready_for_numeric_extraction,200,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
38378685.0,Fasting-mimicking diet causes hepatic and blood markers changes indicating reduced biological age and disease risk.,fasting,epigenetic_biological_age,publisher_html,table_first_then_figure_digitization_if_needed,ready_for_numeric_extraction,210,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
26094889.0,"A Periodic Diet that Mimics Fasting Promotes Multi-System Regeneration, Enhanced Cognitive Performance, and Healthspan.",fasting,cognition,publisher_html,table_first_then_figure_digitization_if_needed,ready_for_numeric_extraction,410,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
31208471.0,Effect of a multicomponent exercise programme (VIVIFRAIL) on functional capacity in frail community elders with cognitive decline: study protocol for a randomized multicentre control trial.,exercise,cognition,publisher_html,table_first_then_figure_digitization_if_needed,ready_for_numeric_extraction,410,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
